,game,developers,publishers,franchises,features,released_date,platform,genres,score,score_text,esrb,esrb_info
0,Magic & Mayhem,['Mythos Games'],['Bethesda  Softworks'],,"['Memory Card', 'Online']",1999-05-15 00:00:00,['PC'],['Strategy'],7.3,good,Teen,['Animated Violence']
1,Fishing Master [2007],['Hudson Soft'],"['Konami', 'Hudson Soft']",,"['Number Of Players', 'Local - VS # of Players']",2006-03-29 00:00:00,['Wii'],['Hunting'],5.5,mediocre,Everyone,['Mild Language']
2,Far Cry 2,"['Gameloft', 'Ubisoft Montreal']","['Ubisoft', 'Gameloft']",['Far Cry'],"['Memory Card', 'Vibration', 'DualShock', 'Memory Blocks', 'Dolby Digital', '16:9', '480p', '720p', 'Downloadable Content', 'Online Leaderboards', 'Online', '1080i', 'Mic/Headset Voice', 'System Link / LAN', 'Dolby Digital 5.1', 'Online Versus Multiplayer', 'Online Spectator Mode']",2008-10-21 00:00:00,"['Luna', 'PC', 'Wireless', 'Xbox 360', 'PlayStation 3']",['Shooter'],8.9,great,Mature,"['Intense Violence', 'Drug Reference', 'Strong Language', 'Sexual Themes', 'Blood']"
3,Pro 18: World Tour Golf,['Psygnosis'],"['Psygnosis', 'Electro Source']",,"['Number Of Players', 'Memory Card', 'Online']",1999-03-31 00:00:00,"['PC', 'PlayStation']",['Sports'],3.0,awful,Everyone,"['Suitable for Persons Ages Six and Older', 'No Descriptors']"
4,Bust A Groove,['Metro Corporation (aka Metro Graphics)'],"['Sony Computer Entertainment', 'Enix', '989 Studios']",['Bust a Groove'],"['Number Of Players', 'Memory Card', 'Vibration']",1998-04-27 00:00:00,['PlayStation'],"['Action', 'Music']",9.0,amazing,Everyone,['Mild Language']
5,Star Trek: Away Team,['Reflexive Entertainment'],['Activision'],['Star Trek'],"['Number Of Players', 'Online']",2001-03-20 00:00:00,['PC'],['Strategy'],6.5,okay,Teen,['Animated Violence']
6,Destroy All Humans! Big Willy Unleashed,['Locomotive Games'],['THQ'],,,2008-02-25 00:00:00,"['Wii', 'PlayStation 2', 'PlayStation Portable']",['Adventure'],5.8,mediocre,Teen,"['Crude Humor', 'Sexual Themes', 'Violence', 'Mild Language', 'Alcohol and/or Tobacco References']"
7,Chivalry: Medieval Warfare,['Torn Banner Studios'],"['Activision', 'Torn Banner Studios']",['Chivalry - Medieval Warfare'],"['Number Of Players', 'Online - VS Number Of Players', 'Online']",2012-10-16 00:00:00,"['PlayStation 3', 'PlayStation 4', 'Xbox One', 'Xbox 360', 'PC']",['Adventure'],7.9,good,Mature,"['Blood and Gore', 'Intense Violence', 'Includes online features that may expose players to unrated user-generated content']"
8,New Super Mario Bros. Wii,['Nintendo EAD Tokyo Software Development Department'],['Nintendo'],['Mario'],"['Dolby Pro Logic II', 'Offline Co-Op Multiplayer']",2009-11-12 00:00:00,['Wii'],['Platformer'],8.9,great,Everyone,['Comic Mischief']
9,J-Stars Victory VS.+,['Spike Chunsoft'],['Bandai Namco Games'],,"['Online Versus Multiplayer', 'Offline Versus Multiplayer']",2015-06-30 00:00:00,"['PlayStation 4', 'PlayStation 3', 'PlayStation Vita']",['Fighting'],5.0,mediocre,Teen,"['Cartoon Violence', 'Crude Humor', 'Mild Language', 'Suggestive Themes', 'Includes online features that may expose players to unrated user-generated content']"
